Name,Platform,Publisher,Genre,Metascore,User_Score,Release_Year
Resident Evil,PS,Virgin Interactive,Action,91.0,9.0,1996.0
Grand Theft Auto: Vice City Stories,PSP,Take-Two Interactive,Action,86.0,8.0,2006.0
Tony Hawk's Pro Skater,PS,Activision,Sports,92.0,9.2,1999.0
Guitar Hero III: Legends of Rock,PS2,Activision,Misc,82.0,8.2,2007.0
Link's Crossbow Training,Wii,Nintendo,Shooter,68.0,7.1,2007.0
Fallout 3,X360,Bethesda Softworks,Role-Playing,93.0,8.5,2008.0
Uncharted: Drake's Fortune,PS3,Sony Computer Entertainment,Action,88.0,8.1,2007.0
Madden NFL 06,PS2,Electronic Arts,Sports,88.0,8.0,2005.0
StarCraft II: Wings of Liberty,PC,Activision,Strategy,93.0,8.2,2010.0
Assassin's Creed,PS3,Ubisoft,Adventure,81.0,7.3,2007.0
God of War III,PS3,Sony Computer Entertainment,Action,92.0,8.7,2010.0
Crash Team Racing,PS,Sony Computer Entertainment,Racing,88.0,9.0,1999.0
LEGO Star Wars: The Complete Saga,DS,LucasArts,Action,80.0,5.4,2007.0
Driver 2,PS,Atari,Action,62.0,7.7,2000.0
Batman: Arkham City,X360,Warner Bros. Interactive Entertainment,Action,94.0,8.7,2011.0
Tony Hawk's Pro Skater 2,PS,Activision,Sports,98.0,7.7,2000.0
The Lord of the Rings: The Two Towers,PS2,Electronic Arts,Action,82.0,8.2,2002.0
Tomb Raider,PS,Eidos Interactive,Action,91.0,8.6,1996.0
Animal Crossing: City Folk,Wii,Nintendo,Simulation,73.0,7.6,2008.0
Uncharted: The Nathan Drake Collection,PS4,Sony Computer Entertainment,Action,86.0,8.1,2015.0
The Legend of Zelda: The Wind Waker,GC,Nintendo,Action,96.0,8.9,2002.0
Guitar Hero III: Legends of Rock,Wii,Activision,Misc,86.0,8.4,2007.0
Luigi's Mansion: Dark Moon,3DS,Nintendo,Action,86.0,8.4,2013.0
Forza Motorsport 4,X360,Microsoft Game Studios,Racing,91.0,8.2,2011.0
